         *    38.000         *    55.000         *         *         *    36.947     3.992     4.534     0.828
    26.000         *         *    33.000         *         *         *    26.036     3.891     4.051     0.814
    56.000         *    58.000         *         *         *    80.000    49.702     3.583     4.594     0.715
         *    41.000    58.000         *         *         *         *    41.042     3.901     4.548     0.846
         *         *    46.000         *    54.000         *    66.000    37.013     4.091     4.497     0.752
    35.000         *    50.000         *    60.000         *    59.000    37.688     3.383     4.324     0.704
         *    62.000    61.000         *         *         *         *    50.470     3.901     4.500     0.846
         *         *    55.000    67.000         *    81.000         *    48.177     3.896     5.111     0.786
         *    54.000         *    62.000         *    66.000         *    45.469     3.752     4.428     0.770
         *    55.000         *    66.000         *    68.000         *    47.223     3.752     4.510     0.770
         *    57.000         *    70.000         *         *         *    49.943     3.992     4.706     0.828
    35.000         *    59.000         *         *         *         *    40.753     3.825     4.683     0.837
         *    34.000    50.000         *         *         *         *    35.298     3.901     4.457     0.846
         *         *    48.000         *         *         *         *    37.794     4.954     4.390     0.846
         *    54.000         *         *    64.000    63.000         *    44.219     3.855     4.332     0.761
         *    66.000         *    65.000         *         *         *    51.886     3.992     4.470     0.828
         *    58.000         *    60.000         *         *         *    46.872     3.992     4.432     0.828
         *    46.000         *    65.000         *         *         *    43.701     3.992     4.703     0.828
         *         *    27.000         *         *         *         *    24.705     4.954     4.128     0.846
    24.000         *    41.000         *         *         *         *    29.622     3.825     4.455     0.837
         *    32.000         *    49.000         *         *         *    32.403     3.992     4.447     0.828
         *         *    57.000         *         *         *         *    43.404     4.954     4.502     0.846
         *         *    48.000         *    49.000         *         *    35.760     4.236     4.204     0.813
         *         *    44.000    59.000         *         *         *    39.062     4.116     4.543     0.833
    39.000         *         *    68.000         *         *    71.000    43.408     3.678     4.794     0.714
    14.000         *    48.000         *         *         *         *    28.184     3.825     4.774     0.837
    52.000         *    67.000         *         *    65.000    75.000    49.082     3.444     4.225     0.688
    44.000         *         *    64.000    73.000         *         *    46.560     3.548     4.984     0.776
    52.000         *    67.000         *         *         *    79.000    50.733     3.583     4.634     0.715
         *    44.000         *    64.000         *    69.000         *    43.064     3.752     4.818     0.770
         *    53.000         *    45.000         *    61.000         *    39.767     3.752     4.133     0.770
         *    62.000         *    65.000         *    74.000         *    50.458     3.752     4.563     0.770
    48.000         *    62.000         *    65.000         *    72.000    46.840     3.383     4.428     0.704
    37.000         *         *         *    45.000         *         *    33.544     3.969     3.983     0.785
    27.000    38.000         *         *         *         *         *    31.388     3.780     4.395     0.851
         *         *    38.000         *    43.000         *         *    29.761     4.236     4.101     0.813
         *    42.000         *         *    52.000         *         *    36.088     4.091     4.274     0.803
    46.000         *    52.000         *    60.000         *         *    42.598     3.464     4.348     0.784
         *         *    47.000         *    64.000         *         *    40.156     4.236     4.650     0.813
         *    50.000         *    60.000         *    53.000         *    41.238     3.752     3.998     0.770
         *         *         *         *    62.000         *    66.000    40.117     4.837     4.502     0.768
    40.000         *    63.000         *    64.000         *         *    44.467     3.464     4.730     0.784
         *    65.000         *         *    66.000         *         *    50.362     4.091     4.359     0.803
         *    51.000         *    66.000         *    79.000         *    47.800     3.752     5.052     0.770
    58.000         *    63.000         *         *         *         *    51.529     3.825     4.401     0.837
         *         *    45.000         *    54.000         *         *    36.138     4.236     4.372     0.813
    32.000         *    48.000         *         *         *    58.000    34.753     3.583     4.255     0.715
    29.000         *         *         *    58.000         *         *    34.289     3.969     4.729     0.785
    35.000         *    50.000         *         *         *         *    37.409     3.825     4.480     0.837
         *    38.000         *         *    45.000         *         *    32.149     4.091     4.097     0.803
         *         *         *    65.000         *    69.000         *    45.445     4.527     4.668     0.793
         *         *    43.000         *    52.000    63.000         *    35.901     4.014     4.537     0.779
         *    24.000         *    45.000         *    55.000         *    28.645     3.752     4.638     0.770
         *    37.000         *    46.000         *         *         *    33.405     3.992     4.310     0.828
    41.000         *    67.000         *         *         *         *    46.149     3.825     4.766     0.837
         *    25.000         *         *    50.000         *         *    28.203     4.091     4.508     0.803
         *    47.000         *         *    70.000         *         *    43.965     4.091     4.823     0.803
    14.000    32.000         *    45.000         *         *         *    25.815     3.327     4.703     0.814
         *    60.000         *    66.000         *         *         *    49.778     3.992     4.566     0.828
    32.000         *         *         *    64.000         *         *    37.542     3.969     4.890     0.785
    43.000         *         *         *    51.000         *         *    38.102     3.969     4.061     0.785
         *    55.000         *         *    62.000         *         *    44.822     4.091     4.396     0.803
         *         *    55.000         *    71.000         *         *    45.659     4.236     4.797     0.813
    40.000         *         *         *    66.000         *         *    41.670     3.969     4.752     0.785
         *         *    44.000         *    52.000         *         *    35.089     4.236     4.321     0.813
    42.000         *    51.000         *         *         *         *    40.608     3.825     4.389     0.837
    39.000         *         *    53.000         *         *         *    38.480     3.891     4.409     0.814
    20.000         *         *    34.000         *         *         *    23.879     3.891     4.218     0.814
         *         *    51.000         *    45.000         *         *    35.702     4.236     4.065     0.813
         *    44.000         *    58.000         *         *         *    40.446     3.992     4.543     0.828
         *    36.000         *    55.000         *         *    65.000    36.352     3.818     4.630     0.737
         *    41.000         *         *    46.000         *         *    33.747     4.091     4.079     0.803
         *    39.000         *         *    48.000         *         *    33.533     4.091     4.186     0.803
    26.000         *    38.000         *    43.000         *    50.000    28.146     3.383     4.038     0.704
         *    43.000         *    44.000         *         *         *    35.165     3.992     4.187     0.828
         *    49.000         *         *    58.000         *    61.000    40.076     3.926     4.100     0.732
         *    34.000         *    53.000    52.000         *         *    34.460     3.674     4.506     0.798
         *         *    41.000    51.000         *         *         *    35.073     4.116     4.391     0.833
         *         *    48.000         *    51.000         *         *    36.400     4.236     4.262     0.813
         *    38.000    49.000         *         *         *         *    36.510     3.901     4.424     0.846
    27.000    37.000         *         *         *    49.000         *    30.243     3.440     4.186     0.747
         *    42.000         *    47.000         *         *         *    35.800     3.992     4.278     0.828
         *    41.000         *         *    68.000         *         *    40.769     4.091     4.860     0.803
         *         *    60.000         *    65.000         *         *    45.776     4.236     4.585     0.813
         *    48.000         *         *    46.000         *         *    36.731     4.091     3.954     0.803
         *    30.000         *    43.000         *         *         *    29.497     3.992     4.313     0.828
         *    34.000         *    46.000         *         *         *    32.178     3.992     4.345     0.828
    30.000         *         *    61.000         *    68.000         *    38.658     3.618     5.127     0.747
    30.000         *         *         *    51.000    50.000         *    31.598     3.705     4.253     0.735
         *         *    37.000    46.000         *         *         *    31.749     4.116     4.297     0.833
    45.000         *         *    60.000    64.000         *         *    43.989     3.548     4.586     0.776
         *    43.000         *    49.000         *    46.000         *    34.675     3.752     3.820     0.770
    22.000         *    50.000         *    49.000         *    57.000    31.509     3.383     4.504     0.704
    29.000         *         *         *    44.000         *    43.000    27.900     3.770     3.653     0.706
    58.000         *    69.000         *         *         *         *    53.758     3.825     4.537     0.837
         *    42.000         *    70.000         *    67.000         *    43.589     3.752     4.832     0.770
         *         *    47.000    62.000         *         *         *    41.290     4.116     4.600     0.833
    18.000         *         *         *    50.000    46.000         *    26.073     3.705     4.546     0.735
         *         *    49.000    55.000         *         *         *    39.606     4.116     4.467     0.833
    35.000         *         *    48.000         *         *    72.000    36.769     3.678     4.864     0.714
    37.000         *         *         *         *         *    61.000    36.003     4.133     4.265     0.715
         *    52.000         *    65.000         *         *         *    46.156     3.992     4.633     0.828
         *    51.000    65.000         *         *    66.000         *    46.769     3.644     4.403     0.771
         *    24.000    42.000         *         *         *         *    28.366     3.901     4.379     0.846
         *    35.000         *    45.000         *         *         *    32.239     3.992     4.307     0.828
         *    29.000         *    41.000         *    44.000         *    27.365     3.752     4.043     0.770
    37.000         *    44.000         *    47.000         *         *    34.651     3.464     4.072     0.784
    41.000         *    47.000         *    62.000         *         *    40.007     3.464     4.548     0.784
         *    37.000         *    43.000         *         *         *    32.361     3.992     4.231     0.828
    23.000         *    42.000         *    42.000    49.000         *    28.298     3.340     4.248     0.734
         *    43.000         *         *         *         *         *    37.427     4.857     4.358     0.854
         *    40.000    64.000         *         *         *         *    42.876     3.901     4.644     0.846
         *    28.000         *         *    45.000    49.000         *    27.836     3.855     4.267     0.761
         *    40.000         *    40.000    53.000         *         *    33.389     3.674     4.238     0.798
         *         *         *         *    47.000         *         *    32.035     5.279     4.200     0.815
    39.000         *    44.000         *    47.000         *         *    35.314     3.464     4.013     0.784
         *    38.000         *    45.000         *         *         *    33.467     3.992     4.272     0.828
    46.000         *         *         *    71.000         *    77.000    46.275     3.770     4.892     0.706
    24.000         *         *    52.000         *         *         *    31.862     3.891     4.713     0.814
         *    34.000         *         *    45.000         *         *    30.443     4.091     4.169     0.803
    19.000    47.000         *    56.000         *         *         *    34.264     3.327     4.922     0.814
    41.000         *         *         *    48.000         *         *    36.257     3.969     3.994     0.785
         *    47.000         *    61.000         *         *         *    42.718     3.992     4.586     0.828
         *    49.000         *    49.000         *         *         *    39.360     3.992     4.248     0.828
    37.000         *         *         *    50.000         *         *    35.168     3.969     4.185     0.785
         *    44.000         *    53.000         *         *         *    38.706     3.992     4.412     0.828
         *    44.000         *    44.000         *    55.000         *    35.315     3.752     4.118     0.770
    54.000         *    66.000         *    66.000         *         *    50.350     3.464     4.411     0.784
    14.000         *    25.000         *         *         *         *    19.638     3.825     4.256     0.837
         *    46.000         *         *    48.000         *         *    36.517     4.091     4.061     0.803
    27.000         *         *    39.000         *         *         *    28.557     3.891     4.223     0.814
    52.000         *    59.000         *         *         *         *    47.619     3.825     4.408     0.837
         *    49.000         *    63.000         *         *         *    44.233     3.992     4.615     0.828
         *         *    60.000         *    63.000         *         *    45.136     4.236     4.527     0.813
    44.000         *    63.000         *    67.000         *    75.000    46.453     3.383     4.737     0.704
         *         *    24.000    31.000         *         *         *    21.388     4.116     4.012     0.833
         *    28.000         *    38.000         *         *         *    26.938     3.992     4.205     0.828
    18.000         *         *         *    51.000         *    54.000    26.962     3.770     4.673     0.706
         *    32.000         *         *    43.000         *         *    28.952     4.091     4.134     0.803
         *         *    39.000    64.000         *    57.000         *    37.977     3.896     4.453     0.786
         *    25.000         *    41.000         *    40.000         *    25.265     3.752     3.986     0.770
         *         *    56.000    59.000         *    66.000         *    43.669     3.896     4.525     0.786
         *         *    40.000         *    55.000         *         *    34.419     4.236     4.437     0.813
    18.000         *    33.000         *         *         *         *    24.226     3.825     4.372     0.837
    49.000         *    62.000         *    78.000         *         *    50.174     3.464     5.003     0.784
    57.000         *    70.000         *    76.000         *         *    54.577     3.464     4.729     0.784
         *         *    45.000         *    45.000         *    61.000    33.698     4.091     4.234     0.752
         *    39.000         *    43.000         *         *    44.000    31.073     3.818     3.525     0.737
